id,suite,task,substrate,variant,plasticity,budget,seed,status,measurement
f115e21c5064057cab891003,drone,attitude,banc,degree_rewired,adapters,20000,1,ready,unmeasured
75efda9ae720ddcffda0945b,drone,attitude,banc,community_rewired,adapters,20000,1,ready,unmeasured
13af1e9446bf2d4dc1fcf4b7,drone,attitude,banc,random,adapters,20000,1,ready,unmeasured
f1ea7d16283c58f0b6f0efec,drone,attitude,banc,adapter_only,adapters,20000,1,ready,unmeasured
b68a02ff483b6b9d021b7072,drone,attitude,banc,rnn,adapters,20000,1,ready,unmeasured
9dd08e3f2d1806b6266e0c99,drone,attitude,banc,gru,adapters,20000,1,ready,unmeasured
6ffd2c5a677fbc4c919455ea,drone,attitude,banc,real,joint,20000,1,ready,unmeasured
6bdd94aeeaf4be344568274c,drone,attitude,banc,degree_rewired,joint,20000,1,ready,unmeasured
aadf1634a114a3fd84715112,drone,attitude,banc,community_rewired,joint,20000,1,ready,unmeasured
993bafae3079b002c79216c5,drone,attitude,banc,random,joint,20000,1,ready,unmeasured
8172f7a3d66f0f9cf5e8f39a,drone,attitude,banc,adapter_only,joint,20000,1,ready,unmeasured
a3bece1e66295da27a0009ec,drone,attitude,banc,rnn,joint,20000,1,ready,unmeasured
873024708269709c16c69df7,drone,attitude,banc,gru,joint,20000,1,ready,unmeasured
7a7d1e773248446e86cec5f9,drone,attitude,banc,real,adapters,20000,2,ready,unmeasured
db6c55237f3cc41038b011a0,drone,attitude,banc,degree_rewired,adapters,20000,2,ready,unmeasured
ed0cc6c79d60f4469f754930,drone,attitude,banc,community_rewired,adapters,20000,2,ready,unmeasured
80d9941e08aae8ae43fb34e9,drone,attitude,banc,random,adapters,20000,2,ready,unmeasured
0b23fac8c6bed75d61b120de,drone,attitude,banc,adapter_only,adapters,20000,2,ready,unmeasured
237160b68abec9fc71b0ffd1,drone,attitude,banc,rnn,adapters,20000,2,ready,unmeasured
c76ca25a539ae553ec0619f2,drone,attitude,banc,gru,adapters,20000,2,ready,unmeasured
c6ef696db7efe4d7a3da1482,drone,attitude,banc,real,joint,20000,2,ready,unmeasured
72c91a6891790931c0bfc55e,drone,attitude,banc,degree_rewired,joint,20000,2,ready,unmeasured
d50b61698f22fa35703fb03c,drone,attitude,banc,community_rewired,joint,20000,2,ready,unmeasured
cc8f01454dedde57170647b6,drone,attitude,banc,random,joint,20000,2,ready,unmeasured
a200505b567df2ca8e520cad,drone,attitude,banc,adapter_only,joint,20000,2,ready,unmeasured
60cc0f64cd3322b7099d3ba2,drone,attitude,banc,rnn,joint,20000,2,ready,unmeasured
aab8b605ad586ca339b8dcf4,drone,attitude,banc,gru,joint,20000,2,ready,unmeasured
c69c69aa3b00615cfe1d63ca,drone,attitude,banc,real,adapters,80000,0,ready,unmeasured
3c28a905f10ac299fb2bea36,drone,attitude,banc,degree_rewired,adapters,80000,0,ready,unmeasured
7b44f85ad9d20d57173aeebe,drone,attitude,banc,community_rewired,adapters,80000,0,ready,unmeasured
a367705925f2d6e99fa152f2,drone,attitude,banc,random,adapters,80000,0,ready,unmeasured
14301552842323363674c1a4,drone,attitude,banc,adapter_only,adapters,80000,0,ready,unmeasured
b499a1444d755075397e86f1,drone,attitude,banc,rnn,adapters,80000,0,ready,unmeasured
d90e00f21eec9c43f4e7dbbe,drone,attitude,banc,gru,adapters,80000,0,ready,unmeasured
4f6f4be3e73fefa35ae067f2,drone,attitude,banc,real,joint,80000,0,ready,unmeasured
